,Unnamed: 0,player,team,minutes,born,score_intervention,score_relance,score_projection,score_duel_def,score_impact,score_discipline,score_intervention_pct,score_relance_pct,score_projection_pct,score_duel_def_pct,score_impact_pct,score_discipline_pct,z_block_pass_p90,z_block_shot_p90,z_carry_lost_pct,z_carry_prog_p90,z_challenge_att_p90,z_challenge_pct,z_degagement_p90,z_duel_pct,z_duel_play_p90,z_erreur_opp_shot_p90,z_faute_commise_p90,z_interception_p90,z_pass_long_pct,z_pass_med_pct,z_pass_prog_p90,z_pass_short_pct,z_tacle_p90,z_tacle_win_ball_pct,z_yellow_card_p90,pct_block_pass_p90,pct_block_shot_p90,pct_carry_lost_pct,pct_carry_prog_p90,pct_challenge_att_p90,pct_challenge_pct,pct_degagement_p90,pct_duel_pct,pct_duel_play_p90,pct_erreur_opp_shot_p90,pct_faute_commise_p90,pct_interception_p90,pct_pass_long_pct,pct_pass_med_pct,pct_pass_prog_p90,pct_pass_short_pct,pct_tacle_p90,pct_tacle_win_ball_pct,pct_yellow_card_p90,poste,score_finition,score_deplacement,score_dribble,score_passe,score_defense,score_finition_pct,score_deplacement_pct,score_dribble_pct,score_passe_pct,score_defense_pct,z_ballon_touche_surface_off_p90,z_carry_in_surface_p90,z_dribble_att_p90,z_dribble_pct,z_faute_won_p90,z_goals_no_pk_p90,z_offside_p90,z_pass_profondeur_defense_p90,z_pass_prog_recu_p90,z_pass_shot_p90,z_pass_surface_cmp_p90,z_passe_pct,z_shot_on_target_pct,z_xG_per_shot,z_xGot_per_shot_on_target,pct_ballon_touche_surface_off_p90,pct_carry_in_surface_p90,pct_dribble_att_p90,pct_dribble_pct,pct_faute_won_p90,pct_goals_no_pk_p90,pct_offside_p90,pct_pass_profondeur_defense_p90,pct_pass_prog_recu_p90,pct_pass_shot_p90,pct_pass_surface_cmp_p90,pct_passe_pct,pct_shot_on_target_pct,pct_xG_per_shot,pct_xGot_per_shot_on_target,score_presence,score_recuperation,score_danger,score_technique,score_presence_pct,score_recuperation_pct,score_danger_pct,score_technique_pct,z_fautes_net_pct,z_passe_att_p90,z_shots_p90,z_touch_med_p90,z_touch_off_p90,pct_fautes_net_pct,pct_passe_att_p90,pct_shots_p90,pct_touch_med_p90,pct_touch_off_p90,score_progression,score_centre,score_progression_pct,score_centre_pct,z_centre_p90,z_centre_surface_cmp_p90,z_pass_transversal_p90,pct_centre_p90,pct_centre_surface_cmp_p90,pct_pass_transversal_p90,global_raw,global_rank,global_n,global_rank_str
10,10,Derek Cornelius,Marseille,1420,1997.0,-0.7519970227060475,0.6154881744464641,0.5817446449412976,0.4879720297440409,0.5811029626931805,-1.1045030772329458,6.779661016949152,83.05084745762711,79.66101694915254,74.57627118644068,79.66101694915254,8.47457627118644,-0.7862081820258722,-0.2567965658069883,1.1964034650055335,0.0223237260367684,-0.1328903075858642,1.396541147702125,-1.1515902751801197,1.094442885856183,0.0677630395301779,1.323267130783808,-1.5659194785496202,-0.8133930678112098,-0.4752258578333371,1.0934747271244265,0.5265067437815907,1.2282156540483031,-0.412427038805532,1.100664317665435,-3.070856883933026,25.42372881355932,47.45762711864407,89.83050847457628,50.84745762711864,49.15254237288136,91.52542372881356,16.94915254237288,88.13559322033898,57.6271186440678,91.52542372881356,6.779661016949152,25.42372881355932,33.89830508474576,84.7457627118644,72.88135593220339,89.83050847457628,35.59322033898305,88.13559322033898,1.694915254237288,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.37,17.0,59.0,17 / 59
11,11,Duje Ä†aleta-Car,Lyon,1584,1996.0,0.4388738766567935,0.5750052596519485,-0.2901370379811862,-0.9958116488834396,0.906266310334622,-1.27306443829515,81.35593220338984,81.35593220338984,40.67796610169492,8.47457627118644,91.52542372881356,5.084745762711865,-0.4544613305177425,2.256541749438817,0.80002568525342,-1.033541086480613,-0.8999618859052827,-1.784196383839211,0.5430302635773508,1.6965528883778644,0.1159797322913797,-0.2938393838128184,-1.423774562016198,-0.5896151758712511,0.8002717784452504,0.7763279155083669,-0.6368957127163657,0.1484160850022283,-1.2396555687347608,-0.0594327570545041,-2.101579369056433,35.59322033898305,96.61016949152544,79.66101694915254,15.254237288135592,20.33898305084746,5.084745762711865,74.57627118644068,98.30508474576273,59.32203389830508,33.89830508474576,10.16949152542373,35.59322033898305,76.27118644067797,76.27118644067797,30.508474576271187,49.15254237288136,8.47457627118644,49.15254237288136,5.084745762711865,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.41,32.0,59.0,32 / 59
12,12,Modibo Sagnan,Montpellier,2141,1999.0,-0.2351845983122829,0.5626533680989244,-0.5908682662545648,0.39636240360376,-0.4975696444616292,-1.4976779830453493,40.67796610169492,79.66101694915254,18.64406779661017,71.1864406779661,30.508474576271187,1.694915254237288,-0.4193706148148056,-0.5358118309064059,-0.6090052632132065,-0.2044930300568232,0.9763098095341032,-0.9504108173186658,-0.1167995985761756,-1.4251053564031926,0.429966067479934,-1.6677379125616574,-1.0096317862484077,0.1312436510482554,1.1552993655498147,-0.0796758564662922,-0.9591065054936648,0.612336595213251,1.4686874019624547,0.0908632202371482,-1.8156642503259823,37.28813559322034,32.20338983050847,22.033898305084744,45.76271186440678,83.05084745762711,22.033898305084744,42.3728813559322,10.16949152542373,76.27118644067797,6.779661016949152,16.94915254237288,54.23728813559322,84.7457627118644,45.76271186440678,15.254237288135592,72.88135593220339,89.83050847457628,50.84745762711864,6.779661016949152,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,49.0,59.0,49 / 59
13,13,AÃ¯ssa Mandi,Lille,1733,1991.0,-0.6873499223737196,0.5488672024491267,0.3191453736435946,-0.1925871973273791,-1.7481837497708246,1.1990504929892387,8.47457627118644,77.96610169491525,71.1864406779661,49.15254237288136,3.389830508474576,96.61016949152544,0.298928197901216,-0.4566079201172623,0.4713707422428734,-0.0052229512625067,-0.7465041852017765,0.8098031564469276,-1.4698537528142923,-2.525559934182711,-0.970807565358938,1.323267130783808,1.8765395716952955,-1.1218662144645395,1.7053113443417098,0.0395833510636403,0.4912883299504171,-0.0982930880579702,-0.2215136676534431,-0.6121340929012244,0.3973447764886125,57.6271186440678,38.983050847457626,67.79661016949152,49.15254237288136,27.11864406779661,76.27118644067797,6.779661016949152,3.389830508474576,16.94915254237288,91.52542372881356,100.0,11.864406779661016,96.61016949152544,50.84745762711864,71.1864406779661,40.67796610169492,54.23728813559322,27.11864406779661,69.49152542372882,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.13,34.0,59.0,34 / 59
14,14,Geoffrey Kondogbia,Marseille,2020,1993.0,-0.6282225082829768,0.5340075177538142,0.5085509234219511,1.0488720656297073,-0.3206848439181602,0.2099167328840386,15.254237288135592,76.27118644067797,77.96610169491525,98.30508474576273,35.59322033898305,64.40677966101694,0.8985482124673172,-1.4276811525680768,0.0559333794868311,0.6905634194971338,0.1606762446990248,1.6726531435869236,-1.4348308577261812,0.3276442589513929,-0.9690139467877134,-1.2128682346825848,0.5147443294009888,-0.5489262353049662,-0.6073575061740419,1.1178760206450695,0.7791559712818882,1.091504038790415,2.064638685219712,0.2975201890131691,1.327874103933712,88.13559322033898,5.084745762711865,44.06779661016949,83.05084745762711,62.71186440677966,96.61016949152544,11.864406779661016,62.71186440677966,18.64406779661017,11.864406779661016,72.88135593220339,40.67796610169492,30.508474576271187,88.13559322033898,77.96610169491525,84.7457627118644,96.61016949152544,65.2542372881356,91.52542372881356,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,8.0,59.0,8 / 59
15,15,Etienne Youte Kinkoue,Le Havre,2320,2002.0,0.3006737660611323,0.5095654663046377,0.0753571028386478,-1.1935403601271948,-0.8497338960920843,0.4799876424108826,64.40677966101694,74.57627118644068,62.71186440677966,1.694915254237288,11.864406779661016,77.96610169491525,-0.232154451798301,0.5689100556404829,1.3940984413185542,-0.4147578632013525,-1.6398969103083814,-0.1876514286869087,1.0025297389450465,-0.6797037640234804,-1.019764028160688,-0.3328729893375646,1.3702483244451895,-0.136590278542699,-0.0264886065208184,1.0019810991944171,-0.7532692696012581,0.5532039062403142,-2.098126463677812,-0.8484866378356769,0.4025875921250228,42.3728813559322,72.88135593220339,96.61016949152544,38.983050847457626,3.389830508474576,41.52542372881356,81.35593220338984,22.033898305084744,15.254237288135592,28.8135593220339,93.22033898305084,49.15254237288136,57.6271186440678,81.35593220338984,25.42372881355932,69.49152542372882,1.694915254237288,22.033898305084744,71.1864406779661,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.87,38.0,59.0,38 / 59
16,16,MoÃ¯se Bombito,Nice,2192,2000.0,-0.1090711093842515,0.5053567528057611,0.5006938901071268,0.1446861928449164,-0.0544819972559367,-0.8121019695632649,47.45762711864407,72.88135593220339,76.27118644067797,57.6271186440678,45.76271186440678,13.559322033898304,0.4496386027075973,0.2106506558068833,-0.0554445100412875,1.255435343034876,-0.0289048696571692,0.2733569930136036,0.1390389220479126,-1.5019729298958515,1.3930089353839783,-2.766713944455105,-0.3398269346867744,-1.2356126180993994,0.8347852438974958,0.4238476880279536,0.3020908373277918,0.2574373264918341,-0.4166542562650907,0.7509469042883219,0.6702349704520851,72.88135593220339,62.71186440677966,40.67796610169492,89.83050847457628,55.932203389830505,61.01694915254237,61.01694915254237,8.47457627118644,89.83050847457628,3.389830508474576,25.42372881355932,10.16949152542373,79.66101694915254,67.79661016949152,66.10169491525424,55.932203389830505,33.89830508474576,81.35593220338984,79.66101694915254,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.26,28.0,59.0,28 / 59
17,17,Emmanuel Agbadou,Reims,1260,1997.0,0.3600743221714789,0.4700405761297496,0.3864590086683011,0.7008249696152707,-0.3394257893011563,0.1661232064012167,72.88135593220339,71.1864406779661,74.57627118644068,88.13559322033898,33.89830508474576,57.6271186440678,0.3867539000921579,0.6849839184292835,-0.4147803633559338,0.2313588295272739,0.994680957225308,0.854936848081942,-0.1558967851497954,0.0786038067489547,-0.7574553853512673,0.3068001787516428,0.2834471271242205,0.5244562553142698,0.3780380781599252,1.0188348639510525,1.3427985598335634,0.0132487862782711,0.1564277596459201,0.7972543135079126,-0.091877686672213,67.79661016949152,77.96610169491525,27.11864406779661,62.71186440677966,86.4406779661017,77.96610169491525,40.67796610169492,47.45762711864407,27.11864406779661,66.10169491525424,62.71186440677966,64.40677966101694,67.79661016949152,83.05084745762711,89.83050847457628,47.45762711864407,64.40677966101694,83.05084745762711,40.67796610169492,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.38,3.0,59.0,3 / 59
18,18,Moussa Niakhate,Lyon,2726,1996.0,-0.6701195243347986,0.3670835303589286,0.8616607492296872,-0.133111232643953,-0.1465818560361067,0.2662093826847224,11.864406779661016,69.49152542372882,86.4406779661017,52.54237288135594,42.3728813559322,69.49152542372882,-1.1576199618166292,-0.4885634371952396,1.209309324024831,1.2916598694168882,-0.95612991177967,1.1031721520745263,-0.0445257312144468,0.3156671891108104,-0.6088309011830239,-0.0862138225109773,-0.2633887414482636,-0.9897689671128788,0.0059201949628633,0.2112232421425606,0.0840130542473422,0.884107153971362,-0.3466436466153942,-0.3328435242552744,1.148230712013408,10.16949152542373,37.28813559322034,91.52542372881356,91.52542372881356,18.64406779661017,85.59322033898306,49.15254237288136,61.01694915254237,28.8135593220339,44.06779661016949,28.8135593220339,15.254237288135592,59.32203389830508,57.6271186440678,61.01694915254237,81.35593220338984,38.983050847457626,38.983050847457626,86.4406779661017,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.37,17.0,59.0,17 / 59
19,19,Thilo Kehrer,Monaco,2383,1996.0,-0.5151452767056348,0.3574072319977754,0.8905450746200426,-0.4111578703704512,0.2827242851236277,0.8742810295089966,23.728813559322035,67.79661016949152,88.13559322033898,25.42372881355932,64.40677966101694,91.52542372881356,-1.1352775697990267,-1.0751197595059616,1.5548760240450643,-0.0543539113273262,-0.0334807743213622,-1.1048155518595075,-0.381724427074389,-0.0006363371336392,0.5660849073808947,0.7858150285762846,0.4523832473525522,0.5315406495568378,0.4927644985693815,0.1238469561135288,1.1711131111423898,0.4556102413104159,-0.6784394443443814,0.1721042890434461,1.3846448125981528,11.864406779661016,15.254237288135592,98.30508474576273,47.45762711864407,54.23728813559322,15.254237288135592,35.59322033898305,42.3728813559322,77.96610169491525,77.96610169491525,69.49152542372882,66.10169491525424,71.1864406779661,54.23728813559322,86.4406779661017,67.79661016949152,25.42372881355932,58.47457627118644,96.61016949152544,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.17,12.0,59.0,12 / 59
